Price,Bedrooms,Bathrooms,SquareFeet,YearBuilt,GarageSpaces,LotSize,CrimeRate,SchoolRating
921654,4,1.6,2559,1972,2,1.4,85.27,8
701661,5,1.4,4012,1914,0,1.04,22.55,1
747972,4,1,1789,1948,0,1.27,37.69,8
589570,3,2.1,3062,2020,2,1.75,46.17,7
556551,4,2.8,3282,1987,2,1.18,48.09,8
373109,5,2.2,1751,1967,0,0.16,43.52,6
124538,2,2.3,1522,1911,1,1.87,93.74,9
994498,4,3.7,4189,1958,3,1.41,70.6,3
301664,2,2,2879,2021,1,1.39,63.12,4
591234,3,2.5,3517,1936,2,0.51,4.98,6
999684,1,3.4,3132,1960,1,1.35,90.39,8
239182,3,2.2,4176,2000,0,0.85,90.94,5
572525,4,2.9,2300,1942,2,1.34,78.02,3
258338,2,3.6,1085,1969,3,0.3,0.7,6
284064,2,3.8,4295,1938,0,1.35,5.73,4
314020,5,1.4,2865,1955,0,2,22.52,9
723094,2,3.8,1568,1962,3,0.19,13.13,3
997421,5,2.5,3857,1945,3,1.96,39.88,4
715270,1,1.8,2961,1987,1,0.87,92.26,7
745914,4,2.4,4093,1910,2,1.75,47.21,7
219176,5,3.9,1746,1961,3,1.59,1.34,4
318126,1,2.5,4135,1976,3,1.18,28.27,6
318969,2,2,4950,1997,2,1.5,4.46,3
222409,2,2.9,2281,1924,3,1.77,3.63,6
647707,1,1.7,2701,1970,3,0.87,27.57,2
353618,2,1.2,4251,1951,1,0.72,27.56,8
869598,1,1.4,4864,1903,0,1.37,78.71,2
150015,5,1.4,854,1958,0,1.63,97.48,7
872838,5,1.5,2623,1971,0,1.55,37.12,9
222096,1,1.4,4262,1919,0,1.62,42.89,1
731347,5,2.9,3879,1992,3,0.93,84.48,8
285340,5,1.5,1632,1962,2,1.65,26.81,7
210687,5,2,3606,1953,2,0.33,15.64,6
974371,3,3.7,3290,2016,1,1.13,85.31,6
511357,4,2.4,1127,2014,1,0.11,4.65,6
835716,2,3,4110,2008,3,0.72,61.97,9
205878,3,1.5,4100,2009,2,0.8,56.2,2
827270,5,1.6,4475,1973,2,0.85,34.59,1
298286,1,1.1,3854,2006,0,1.42,31.52,6
873290,5,1.5,2943,1997,3,0.84,77.19,8
874684,4,1.8,2111,1956,3,0.95,8.64,3
264899,5,1.5,3991,1989,0,0.55,23.68,1
424767,1,1.3,3338,1940,3,0.81,73.24,9
961882,4,1.4,4783,2012,3,0.53,54.83,1
979858,5,2.4,964,2021,1,0.24,12.8,3
479989,4,1.6,1622,1902,2,1.25,88.21,8
515515,2,2.1,1743,2019,3,1.37,39.34,3
143585,2,2.5,1574,1905,1,1.28,82.79,4
471369,5,3.1,2998,1904,2,0.98,78.77,8
164044,4,1.1,3956,1904,0,0.82,62.44,1
542296,1,3.4,4495,1953,1,1.74,49.45,6
209556,5,2.9,4252,1946,1,1.09,97.96,1
626981,2,1.2,1714,1986,2,1.01,14.5,1
981691,2,3.6,2108,1948,0,0.15,72.52,8
867595,5,3.8,4977,1908,1,0.75,19.12,4
300235,4,1.2,1313,1998,3,0.82,33.83,1
125939,2,1.8,2720,1919,3,0.86,30.87,7
252906,4,3.4,4394,2021,3,1.2,94.7,5
642335,2,3.2,2209,2012,0,1.11,96.74,5
388249,2,1.6,3990,1960,1,1.26,18.3,1
175766,3,1.6,2355,2022,3,1.55,2.2,6
508923,2,2.1,1604,2005,0,1.64,72,9
515192,1,2.5,2079,1934,3,1.46,41.8,9
668550,5,2.9,4377,1949,2,1.92,8.88,8
487261,5,2.1,3701,1981,1,0.13,68.38,5
910208,4,2.4,2187,1961,1,0.47,54.51,1
785440,2,3.2,3561,1916,0,0.11,98.05,9
752664,1,1.1,3479,1987,0,1.33,22.74,1
554589,4,1.8,2906,1902,1,1.81,40.4,8
237848,3,3.1,3568,1931,3,0.56,54.25,5
717075,4,3.7,4753,1998,3,1.86,79.17,3
227948,4,2.5,3986,2001,2,0.21,54.88,7
679304,2,2.6,4080,1912,3,1.88,61.29,7
502690,3,1.3,3373,2019,0,0.77,22.61,9
599046,4,2.3,3399,2010,0,0.29,84.69,7
551269,1,2.6,4833,1988,3,1.02,42.86,3
121959,1,1.7,1036,1972,0,0.59,14.1,1
760890,5,1.8,2104,1967,1,0.64,66.42,8
850216,3,2.1,4230,1913,1,0.68,21.61,3
890180,3,1.1,2101,2000,3,1.63,9.76,8
328576,5,2,3341,1997,1,1.12,86.2,8
637833,4,1.6,2851,1910,1,0.69,46.02,5
265838,3,2,1241,2004,2,1.26,74.93,1
435674,1,1.4,2876,1955,2,1.46,29.06,7
979989,1,3.7,3980,1966,1,0.62,78.7,5
161087,2,2.8,3457,2022,3,0.89,11.19,8
693128,3,3,4598,1991,2,0.33,35.6,9
218451,4,3.4,1604,1928,0,0.44,97.81,7
547600,5,2.5,874,1908,0,1.39,79.4,7
937437,5,1.3,2975,1966,0,0.44,49.73,1
539792,4,2.6,4724,1924,3,1.1,33.98,4
139353,2,2.8,2889,1997,1,1.45,87.21,2
293075,5,3.2,840,1975,0,0.3,54.48,2
314283,3,2.3,2881,1941,3,1.18,75.84,2
414877,2,1.4,2422,1908,2,0.59,75.41,4
165318,3,1.9,1141,1978,1,1.93,1.79,1
865313,1,2.1,4852,1939,2,1.02,12.63,4
582690,2,2.9,2874,1924,3,1.63,65.96,2
516880,5,2.7,1445,1904,0,1.15,16.16,5
691460,2,2.1,1409,1910,0,0.18,25.55,3
840976,2,4,1254,1958,3,1.3,94.66,8
881239,2,2.8,3753,1997,0,1.91,56.02,4
193264,2,1.7,2508,1987,1,1.24,75.07,1
870746,3,1.3,4272,1978,3,1.66,55.8,1
913168,1,1.5,3769,1937,2,1.78,55.25,3
325281,4,1.7,3828,1971,3,0.53,9.42,9
737147,2,1.5,3481,2022,1,0.5,34.37,7
998613,5,1.6,4429,1904,1,1.26,28.24,2
494070,2,1.9,3867,1947,3,0.88,39.07,9
452228,5,1.5,2186,1989,3,1.7,79.83,2
531839,3,3.7,4576,1917,0,1.81,37.19,3
369536,5,1.2,3666,1969,1,0.77,45.17,2
417824,4,2.6,4163,1936,3,0.55,39.74,3
357426,1,2.2,4924,1959,3,1.58,9.34,6
277789,5,3.9,948,1947,1,0.62,44.11,9
613153,5,1.3,4650,1976,3,1.66,19.56,9
842452,1,2.2,2858,1927,0,0.91,18.67,7
937291,4,3.9,1936,1968,1,1.37,9.4,3
225657,2,3.6,986,1976,0,0.28,35.67,4
335167,5,3.5,3654,1980,0,1.29,75.75,6
781669,1,1.8,2050,2013,0,0.96,27.64,5
580671,3,1.5,2133,1939,0,1.21,31.23,2
819094,1,3,4993,1944,1,0.42,64.27,6
170467,3,3.8,4950,1995,0,1.5,19.58,3
283734,4,2.7,3511,1961,0,1.74,89.7,8
722794,2,2.7,2585,1992,3,0.51,52.02,2
209751,1,1.8,1550,2014,1,0.28,44.76,1
481050,5,3.3,2562,1957,1,0.14,55.78,9
911774,4,1.6,4720,1966,2,1.32,16.6,3
792517,1,2,1281,1955,1,1.25,61.35,1
561079,5,2.3,953,1939,1,1.14,36.31,7
468452,1,2.5,2324,1997,2,0.54,89.72,5
206081,3,1.7,2920,1939,1,0.84,16.89,5
713333,1,1.3,3143,1990,1,1.23,50.71,1
658986,1,2.8,2040,1976,1,1.04,59.81,9
210078,1,1.9,860,2008,1,1.98,3.34,7
967055,4,2.7,1738,1932,2,0.36,36.37,8
122671,1,1.5,2439,1905,1,1.42,73.26,9
518400,5,2.4,4920,1987,1,0.87,82.04,6
455528,3,2.6,4369,1918,2,0.91,31.32,5
710490,3,1.2,2052,1979,3,1.46,79.86,6
151663,1,2,971,1939,0,1.42,96.78,2
115708,4,1.4,2258,1991,3,1.98,85.69,4
978338,4,1.2,4349,1996,2,0.34,11.76,3
411955,5,4,4997,1958,0,0.3,73.97,7
233883,1,2,3122,1958,2,1.48,31.97,9
418394,3,3.4,2436,1947,2,1.2,98.84,5
212547,4,1.8,3915,1940,1,0.62,48.54,6
659042,1,3,4890,1912,0,0.25,12.24,2
851102,4,3.3,3804,2006,1,0.26,72.52,3
862002,4,2.8,1129,1944,0,1.8,32.3,3
242483,3,2.4,4440,1988,2,0.46,99.71,9
758271,2,2.2,4694,1952,2,0.71,97.98,7
314835,5,2,4907,1941,3,0.53,65.61,8
501896,5,3.8,2141,1999,0,0.77,12.98,9
